seller_id,seller_zip_code_prefix,seller_city,seller_state
96f7c797de9ca20efbe14545bed63eec,14140,cravinhos,SP
77530e9772f57a62c906e1c21538ab82,80310,curitiba,PR
297d5eccd19fa9a83b2630071ff105e4,80710,curitiba,PR
191d55f7edb8524d525ed01b20fe32e8,73020,brasilia,DF
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,8140,sao paulo,SP
5733d806668f8712c24b9abaefbfa642,89803,chapeco,SP
65b081a070633e057c462abdd6fb9dd8,75650,morrinhos,GO
edf96ef93ed595084bbcbd9224bd2894,1545,sao paulo,SP
6a8b085f816a1f75f92dbac6eb545f8f,14709,bebedouro,SP
f3295428338a40977a03f555246a70f4,29032,vitoria,ES
75fbb52eda0cbc24f479d3b2fbfa8d3e,74560,goiania,GO
e5d4b2b0c3bca22085f7a19a28de0c42,89201,joinville,SC
6187a137b2af59dfdbad8d9f8c373c14,6268,osasco,SP
062ce95fa2ad4dfaedfc79260130565f,95913,lajeado,RS
c200c73f9d7e5a08ca439d6a0803da7c,83507,almirante tamandare,PR
2ee0a0689f2f6a72f35a7cb6033f6e7e,19025,presidente prudente,SP
a08692680c77d30a0b4280da5df01c5a,4719,sao paulo,SP
dd533b429f380718b70ad9922c294bae,14781,barretos,SP
582d4f8675b945722eda7c0cb61ba4c7,11250,bertioga,SP
74636e24f01da9268b0ed88dacd8513e,2941,sao paulo,SP
09bad886111255c5b5030314fc7f1a4a,1022,sao paulo,SP
94144541854e298c2d976cb893b81343,94451,viamao,RS
bf84056e679dbe9c69929847a40e338f,2537,sao paulo,SP
21c62b998a043ebe31161d38f84929fc,60110,fortaleza,CE
02d35243ea2e497335cd0f076b45675d,59077,natal,RN
1c129092bf23f28a5930387c980c0dfc,2972,sao paulo,SP
a1040efe9ff4a6f93c28b0499eada8f5,13210,jundiai,SP
2d9e8987a2ea5cf88dce330249043ff1,15155,jaci,SP
fdf736c18c589ed030e058312203e1b2,37704,pocos de caldas,MG
e433f5fd4050e3352b5d83522b7fe24b,86702,arapongas,PR
b01c2b7b8599b325103ebcddc67413e1,95800,venancio aires,RS
bb5d956dece964a06c12bceb66b923ae,20930,rio de janeiro,RJ
3afc536624bc2e65bddfb5db33cc01f3,30150,belo horizonte,MG
8090490573c6c0aa343a7231ebcb8c86,4130,sao paulo - sp,SP
26d6bbee02420494d471c9f6436929c0,81530,curitiba,PR
602044f2c16190c2c6e45eb35c2e21cb,14940,ibitinga,SP
b347677812ea483b0f528eaf8cbc09b7,82540,curitiba,PR
d94ba08b99bedd6a5f6c875ecc4a6fac,86800,apucarana,PR
880ce4951cf857ab1d9e0b75c1d856f4,31255,belo horizont,MG
